subject,theoretically_best_scores,variable,val,delta,Method
38,0.987,one_sample_scores,0.947,0.040000000000000036,Covarite Model + 1 Sample
39,0.986,one_sample_scores,0.893,0.09299999999999997,Covarite Model + 1 Sample
40,0.865,one_sample_scores,0.784,0.08099999999999996,Covarite Model + 1 Sample
41,0.485,one_sample_scores,0.452,0.032999999999999974,Covarite Model + 1 Sample
42,0.642,one_sample_scores,0.608,0.03400000000000003,Covarite Model + 1 Sample
43,0.616,one_sample_scores,0.536,0.07999999999999996,Covarite Model + 1 Sample
44,0.97,one_sample_scores,0.876,0.09399999999999997,Covarite Model + 1 Sample
45,0.682,one_sample_scores,0.623,0.05900000000000005,Covarite Model + 1 Sample
46,0.599,one_sample_scores,0.443,0.15599999999999997,Covarite Model + 1 Sample
47,0.926,one_sample_scores,0.922,0.0040000000000000036,Covarite Model + 1 Sample
48,0.816,one_sample_scores,0.806,0.009999999999999898,Covarite Model + 1 Sample
49,0.646,one_sample_scores,0.571,0.07500000000000007,Covarite Model + 1 Sample
50,0.736,one_sample_scores,0.642,0.09399999999999997,Covarite Model + 1 Sample
51,0.985,one_sample_scores,0.968,0.017000000000000015,Covarite Model + 1 Sample
52,0.977,one_sample_scores,0.745,0.23199999999999998,Covarite Model + 1 Sample
53,0.637,one_sample_scores,0.569,0.06800000000000006,Covarite Model + 1 Sample
54,0.912,one_sample_scores,0.81,0.10199999999999998,Covarite Model + 1 Sample
55,0.774,one_sample_scores,0.597,0.17700000000000005,Covarite Model + 1 Sample
56,0.974,one_sample_scores,0.93,0.04399999999999993,Covarite Model + 1 Sample
57,0.64,one_sample_scores,0.625,0.015000000000000013,Covarite Model + 1 Sample
58,0.956,one_sample_scores,0.644,0.31199999999999994,Covarite Model + 1 Sample
59,0.645,one_sample_scores,0.585,0.06000000000000005,Covarite Model + 1 Sample
60,0.718,one_sample_scores,0.687,0.030999999999999917,Covarite Model + 1 Sample
61,0.808,one_sample_scores,0.773,0.03500000000000003,Covarite Model + 1 Sample
62,0.806,one_sample_scores,0.739,0.06700000000000006,Covarite Model + 1 Sample
63,0.82,one_sample_scores,0.744,0.07599999999999996,Covarite Model + 1 Sample
64,0.986,one_sample_scores,0.878,0.10799999999999998,Covarite Model + 1 Sample
65,0.817,one_sample_scores,0.783,0.03399999999999992,Covarite Model + 1 Sample
66,0.704,one_sample_scores,0.66,0.04399999999999993,Covarite Model + 1 Sample
67,0.922,one_sample_scores,0.877,0.04500000000000004,Covarite Model + 1 Sample
68,0.739,one_sample_scores,0.669,0.06999999999999995,Covarite Model + 1 Sample
69,0.854,one_sample_scores,0.786,0.06799999999999995,Covarite Model + 1 Sample
70,0.983,one_sample_scores,0.957,0.026000000000000023,Covarite Model + 1 Sample
71,0.729,one_sample_scores,0.601,0.128,Covarite Model + 1 Sample
72,0.928,one_sample_scores,0.624,0.30400000000000005,Covarite Model + 1 Sample
73,0.533,one_sample_scores,0.514,0.019000000000000017,Covarite Model + 1 Sample
74,0.54,one_sample_scores,0.456,0.08400000000000002,Covarite Model + 1 Sample
75,0.731,one_sample_scores,0.569,0.16200000000000003,Covarite Model + 1 Sample
76,0.895,one_sample_scores,0.893,0.0020000000000000018,Covarite Model + 1 Sample
77,0.736,one_sample_scores,0.73,0.006000000000000005,Covarite Model + 1 Sample
78,0.922,one_sample_scores,0.794,0.128,Covarite Model + 1 Sample
79,0.828,one_sample_scores,0.784,0.04399999999999993,Covarite Model + 1 Sample
80,0.639,one_sample_scores,0.548,0.09099999999999997,Covarite Model + 1 Sample
81,0.852,one_sample_scores,0.847,0.0050000000000000044,Covarite Model + 1 Sample
82,0.969,one_sample_scores,0.942,0.027000000000000024,Covarite Model + 1 Sample
83,0.97,one_sample_scores,0.899,0.07099999999999995,Covarite Model + 1 Sample
84,0.717,one_sample_scores,0.668,0.04899999999999993,Covarite Model + 1 Sample
85,0.989,one_sample_scores,0.974,0.015000000000000013,Covarite Model + 1 Sample
86,0.45,one_sample_scores,0.351,0.09900000000000003,Covarite Model + 1 Sample
87,0.933,one_sample_scores,0.843,0.09000000000000008,Covarite Model + 1 Sample
88,0.965,one_sample_scores,0.944,0.02100000000000002,Covarite Model + 1 Sample
89,0.668,one_sample_scores,0.604,0.06400000000000006,Covarite Model + 1 Sample
90,0.798,one_sample_scores,0.636,0.16200000000000003,Covarite Model + 1 Sample
91,0.826,one_sample_scores,0.749,0.07699999999999996,Covarite Model + 1 Sample
92,0.693,one_sample_scores,0.674,0.018999999999999906,Covarite Model + 1 Sample
93,0.641,one_sample_scores,0.511,0.13,Covarite Model + 1 Sample
94,0.982,one_sample_scores,0.953,0.029000000000000026,Covarite Model + 1 Sample
95,0.816,one_sample_scores,0.731,0.08499999999999996,Covarite Model + 1 Sample
96,0.821,one_sample_scores,0.674,0.1469999999999999,Covarite Model + 1 Sample
97,0.807,one_sample_scores,0.682,0.125,Covarite Model + 1 Sample
98,0.943,one_sample_scores,0.752,0.19099999999999995,Covarite Model + 1 Sample
99,0.739,one_sample_scores,0.683,0.05599999999999994,Covarite Model + 1 Sample
100,0.764,one_sample_scores,0.698,0.06600000000000006,Covarite Model + 1 Sample
101,0.867,one_sample_scores,0.752,0.11499999999999999,Covarite Model + 1 Sample
102,0.931,one_sample_scores,0.793,0.138,Covarite Model + 1 Sample
103,0.631,one_sample_scores,0.628,0.0030000000000000027,Covarite Model + 1 Sample
104,0.977,one_sample_scores,0.923,0.05399999999999994,Covarite Model + 1 Sample
105,0.901,one_sample_scores,0.799,0.10199999999999998,Covarite Model + 1 Sample
106,0.795,one_sample_scores,0.767,0.028000000000000025,Covarite Model + 1 Sample
107,0.925,one_sample_scores,0.871,0.05400000000000005,Covarite Model + 1 Sample
108,0.981,one_sample_scores,0.879,0.10199999999999998,Covarite Model + 1 Sample
109,0.984,one_sample_scores,0.956,0.028000000000000025,Covarite Model + 1 Sample
110,0.725,one_sample_scores,0.613,0.11199999999999999,Covarite Model + 1 Sample
111,0.871,one_sample_scores,0.749,0.122,Covarite Model + 1 Sample
112,0.787,one_sample_scores,0.689,0.09800000000000009,Covarite Model + 1 Sample
113,0.617,one_sample_scores,0.609,0.008000000000000007,Covarite Model + 1 Sample
114,0.978,one_sample_scores,0.942,0.03600000000000003,Covarite Model + 1 Sample
115,0.568,one_sample_scores,0.446,0.12199999999999994,Covarite Model + 1 Sample
116,0.681,one_sample_scores,0.592,0.08900000000000008,Covarite Model + 1 Sample
117,0.793,one_sample_scores,0.656,0.137,Covarite Model + 1 Sample
118,0.778,one_sample_scores,0.775,0.0030000000000000027,Covarite Model + 1 Sample
119,0.639,one_sample_scores,0.542,0.09699999999999998,Covarite Model + 1 Sample
120,0.785,one_sample_scores,0.606,0.17900000000000005,Covarite Model + 1 Sample
121,0.747,one_sample_scores,0.684,0.06299999999999994,Covarite Model + 1 Sample
122,0.717,one_sample_scores,0.628,0.08899999999999997,Covarite Model + 1 Sample
123,0.79,one_sample_scores,0.764,0.026000000000000023,Covarite Model + 1 Sample
124,0.718,one_sample_scores,0.683,0.03499999999999992,Covarite Model + 1 Sample
125,0.964,one_sample_scores,0.751,0.21299999999999997,Covarite Model + 1 Sample
126,0.617,one_sample_scores,0.511,0.10599999999999998,Covarite Model + 1 Sample
127,0.604,one_sample_scores,0.526,0.07799999999999996,Covarite Model + 1 Sample
128,0.785,one_sample_scores,0.706,0.07900000000000007,Covarite Model + 1 Sample
129,0.887,one_sample_scores,0.772,0.11499999999999999,Covarite Model + 1 Sample
130,0.883,one_sample_scores,0.658,0.22499999999999998,Covarite Model + 1 Sample
131,0.979,one_sample_scores,0.942,0.03700000000000003,Covarite Model + 1 Sample
132,0.766,one_sample_scores,0.638,0.128,Covarite Model + 1 Sample
133,0.59,one_sample_scores,0.4,0.18999999999999995,Covarite Model + 1 Sample
134,0.843,one_sample_scores,0.784,0.05899999999999994,Covarite Model + 1 Sample
135,0.933,one_sample_scores,0.929,0.0040000000000000036,Covarite Model + 1 Sample
136,0.984,one_sample_scores,0.923,0.06099999999999994,Covarite Model + 1 Sample
137,0.829,one_sample_scores,0.79,0.038999999999999924,Covarite Model + 1 Sample
138,0.982,one_sample_scores,0.782,0.19999999999999996,Covarite Model + 1 Sample
139,0.965,one_sample_scores,0.843,0.122,Covarite Model + 1 Sample
140,0.731,one_sample_scores,0.592,0.139,Covarite Model + 1 Sample
141,0.855,one_sample_scores,0.848,0.007000000000000006,Covarite Model + 1 Sample
142,0.977,one_sample_scores,0.87,0.10699999999999998,Covarite Model + 1 Sample
143,0.801,one_sample_scores,0.753,0.04800000000000004,Covarite Model + 1 Sample
144,0.654,one_sample_scores,0.58,0.07400000000000007,Covarite Model + 1 Sample
145,0.688,one_sample_scores,0.563,0.125,Covarite Model + 1 Sample
146,0.949,one_sample_scores,0.904,0.04499999999999993,Covarite Model + 1 Sample
147,0.865,one_sample_scores,0.805,0.05999999999999994,Covarite Model + 1 Sample
148,0.756,one_sample_scores,0.701,0.05500000000000005,Covarite Model + 1 Sample
149,0.982,one_sample_scores,0.923,0.05899999999999994,Covarite Model + 1 Sample
150,0.536,one_sample_scores,0.475,0.061000000000000054,Covarite Model + 1 Sample
151,0.675,one_sample_scores,0.629,0.04600000000000004,Covarite Model + 1 Sample
152,0.695,one_sample_scores,0.576,0.119,Covarite Model + 1 Sample
153,0.929,one_sample_scores,0.664,0.265,Covarite Model + 1 Sample
154,0.979,one_sample_scores,0.702,0.277,Covarite Model + 1 Sample
155,0.964,one_sample_scores,0.963,0.0010000000000000009,Covarite Model + 1 Sample
156,0.878,one_sample_scores,0.869,0.009000000000000008,Covarite Model + 1 Sample
157,0.786,one_sample_scores,0.678,0.10799999999999998,Covarite Model + 1 Sample
158,0.834,one_sample_scores,0.709,0.125,Covarite Model + 1 Sample
159,0.81,one_sample_scores,0.78,0.030000000000000027,Covarite Model + 1 Sample
160,0.518,one_sample_scores,0.423,0.09500000000000003,Covarite Model + 1 Sample
161,0.972,one_sample_scores,0.88,0.09199999999999997,Covarite Model + 1 Sample
162,0.559,one_sample_scores,0.388,0.17100000000000004,Covarite Model + 1 Sample
163,0.928,one_sample_scores,0.907,0.02100000000000002,Covarite Model + 1 Sample
164,0.642,one_sample_scores,0.531,0.11099999999999999,Covarite Model + 1 Sample
165,0.862,one_sample_scores,0.817,0.04500000000000004,Covarite Model + 1 Sample
166,0.762,one_sample_scores,0.707,0.05500000000000005,Covarite Model + 1 Sample
167,0.881,one_sample_scores,0.843,0.038000000000000034,Covarite Model + 1 Sample
168,0.933,one_sample_scores,0.847,0.08600000000000008,Covarite Model + 1 Sample
169,0.54,one_sample_scores,0.508,0.03200000000000003,Covarite Model + 1 Sample
170,0.977,one_sample_scores,0.939,0.038000000000000034,Covarite Model + 1 Sample
171,0.961,one_sample_scores,0.909,0.051999999999999935,Covarite Model + 1 Sample
172,0.718,one_sample_scores,0.703,0.015000000000000013,Covarite Model + 1 Sample
173,0.751,one_sample_scores,0.69,0.061000000000000054,Covarite Model + 1 Sample
174,0.632,one_sample_scores,0.546,0.08599999999999997,Covarite Model + 1 Sample
175,0.97,one_sample_scores,0.8,0.16999999999999993,Covarite Model + 1 Sample
176,0.613,one_sample_scores,0.606,0.007000000000000006,Covarite Model + 1 Sample
177,0.832,one_sample_scores,0.798,0.03399999999999992,Covarite Model + 1 Sample
178,0.962,one_sample_scores,0.822,0.14,Covarite Model + 1 Sample
179,0.737,one_sample_scores,0.618,0.119,Covarite Model + 1 Sample
180,0.966,one_sample_scores,0.902,0.06399999999999995,Covarite Model + 1 Sample
181,0.954,one_sample_scores,0.912,0.041999999999999926,Covarite Model + 1 Sample
182,0.982,one_sample_scores,0.972,0.010000000000000009,Covarite Model + 1 Sample
183,0.917,one_sample_scores,0.667,0.25,Covarite Model + 1 Sample
184,0.723,one_sample_scores,0.673,0.04999999999999993,Covarite Model + 1 Sample
185,0.646,one_sample_scores,0.493,0.15300000000000002,Covarite Model + 1 Sample
186,0.981,one_sample_scores,0.78,0.20099999999999996,Covarite Model + 1 Sample
187,0.799,one_sample_scores,0.734,0.06500000000000006,Covarite Model + 1 Sample
188,0.931,one_sample_scores,0.894,0.03700000000000003,Covarite Model + 1 Sample
189,0.578,one_sample_scores,0.434,0.14399999999999996,Covarite Model + 1 Sample
190,0.416,one_sample_scores,0.401,0.014999999999999958,Covarite Model + 1 Sample
191,0.619,one_sample_scores,0.571,0.04800000000000004,Covarite Model + 1 Sample
192,0.509,one_sample_scores,0.368,0.14100000000000001,Covarite Model + 1 Sample
193,0.825,one_sample_scores,0.739,0.08599999999999997,Covarite Model + 1 Sample
194,0.749,one_sample_scores,0.712,0.03700000000000003,Covarite Model + 1 Sample
195,0.878,one_sample_scores,0.794,0.08399999999999996,Covarite Model + 1 Sample
196,0.64,one_sample_scores,0.586,0.05400000000000005,Covarite Model + 1 Sample
197,0.817,one_sample_scores,0.758,0.05899999999999994,Covarite Model + 1 Sample
198,0.911,one_sample_scores,0.768,0.14300000000000002,Covarite Model + 1 Sample
199,0.819,one_sample_scores,0.659,0.15999999999999992,Covarite Model + 1 Sample
200,0.582,one_sample_scores,0.518,0.06399999999999995,Covarite Model + 1 Sample
201,0.926,one_sample_scores,0.684,0.242,Covarite Model + 1 Sample
202,0.833,one_sample_scores,0.759,0.07399999999999995,Covarite Model + 1 Sample
203,0.702,one_sample_scores,0.547,0.15499999999999992,Covarite Model + 1 Sample
204,0.774,one_sample_scores,0.758,0.016000000000000014,Covarite Model + 1 Sample
205,0.955,one_sample_scores,0.949,0.006000000000000005,Covarite Model + 1 Sample
206,0.985,one_sample_scores,0.873,0.11199999999999999,Covarite Model + 1 Sample
207,0.971,one_sample_scores,0.923,0.04799999999999993,Covarite Model + 1 Sample
208,0.929,one_sample_scores,0.911,0.018000000000000016,Covarite Model + 1 Sample
209,0.977,one_sample_scores,0.964,0.013000000000000012,Covarite Model + 1 Sample
210,0.549,one_sample_scores,0.432,0.11700000000000005,Covarite Model + 1 Sample
211,0.709,one_sample_scores,0.675,0.03399999999999992,Covarite Model + 1 Sample
212,0.782,one_sample_scores,0.649,0.133,Covarite Model + 1 Sample
213,0.546,one_sample_scores,0.433,0.11300000000000004,Covarite Model + 1 Sample
214,0.651,one_sample_scores,0.583,0.06800000000000006,Covarite Model + 1 Sample
215,0.984,one_sample_scores,0.978,0.006000000000000005,Covarite Model + 1 Sample
216,0.678,one_sample_scores,0.673,0.0050000000000000044,Covarite Model + 1 Sample
217,0.917,one_sample_scores,0.807,0.10999999999999999,Covarite Model + 1 Sample
218,0.817,one_sample_scores,0.805,0.0119999999999999,Covarite Model + 1 Sample
219,0.568,one_sample_scores,0.471,0.09699999999999998,Covarite Model + 1 Sample
220,0.889,one_sample_scores,0.847,0.04200000000000004,Covarite Model + 1 Sample
221,0.888,one_sample_scores,0.871,0.017000000000000015,Covarite Model + 1 Sample
222,0.789,one_sample_scores,0.768,0.02100000000000002,Covarite Model + 1 Sample
223,0.881,one_sample_scores,0.636,0.245,Covarite Model + 1 Sample
224,0.555,one_sample_scores,0.441,0.11400000000000005,Covarite Model + 1 Sample
225,0.729,one_sample_scores,0.643,0.08599999999999997,Covarite Model + 1 Sample
226,0.822,one_sample_scores,0.784,0.03799999999999992,Covarite Model + 1 Sample
227,0.965,one_sample_scores,0.7,0.265,Covarite Model + 1 Sample
228,0.983,one_sample_scores,0.88,0.10299999999999998,Covarite Model + 1 Sample
229,0.787,one_sample_scores,0.743,0.04400000000000004,Covarite Model + 1 Sample
230,0.99,one_sample_scores,0.99,0.0,Covarite Model + 1 Sample
231,0.705,one_sample_scores,0.644,0.06099999999999994,Covarite Model + 1 Sample
232,0.626,one_sample_scores,0.546,0.07999999999999996,Covarite Model + 1 Sample
233,0.959,one_sample_scores,0.911,0.04799999999999993,Covarite Model + 1 Sample
234,0.936,one_sample_scores,0.72,0.21600000000000008,Covarite Model + 1 Sample
235,0.802,one_sample_scores,0.725,0.07700000000000007,Covarite Model + 1 Sample
236,0.549,one_sample_scores,0.402,0.14700000000000002,Covarite Model + 1 Sample
237,0.842,one_sample_scores,0.794,0.04799999999999993,Covarite Model + 1 Sample
238,0.97,one_sample_scores,0.883,0.08699999999999997,Covarite Model + 1 Sample
239,0.851,one_sample_scores,0.782,0.06899999999999995,Covarite Model + 1 Sample
240,0.871,one_sample_scores,0.678,0.19299999999999995,Covarite Model + 1 Sample
241,0.794,one_sample_scores,0.695,0.09900000000000009,Covarite Model + 1 Sample
242,0.98,one_sample_scores,0.82,0.16000000000000003,Covarite Model + 1 Sample
243,0.917,one_sample_scores,0.885,0.03200000000000003,Covarite Model + 1 Sample
244,0.917,one_sample_scores,0.758,0.15900000000000003,Covarite Model + 1 Sample
245,0.769,one_sample_scores,0.7,0.06900000000000006,Covarite Model + 1 Sample
246,0.749,one_sample_scores,0.648,0.10099999999999998,Covarite Model + 1 Sample
247,0.676,one_sample_scores,0.529,0.14700000000000002,Covarite Model + 1 Sample
248,0.888,one_sample_scores,0.819,0.06900000000000006,Covarite Model + 1 Sample
249,0.799,one_sample_scores,0.632,0.16700000000000004,Covarite Model + 1 Sample
250,0.688,one_sample_scores,0.608,0.07999999999999996,Covarite Model + 1 Sample
251,0.798,one_sample_scores,0.762,0.03600000000000003,Covarite Model + 1 Sample
252,0.978,one_sample_scores,0.762,0.21599999999999997,Covarite Model + 1 Sample
253,0.973,one_sample_scores,0.932,0.040999999999999925,Covarite Model + 1 Sample
254,0.694,one_sample_scores,0.632,0.061999999999999944,Covarite Model + 1 Sample
255,0.88,one_sample_scores,0.76,0.12,Covarite Model + 1 Sample
256,0.644,one_sample_scores,0.544,0.09999999999999998,Covarite Model + 1 Sample
257,0.749,one_sample_scores,0.645,0.10399999999999998,Covarite Model + 1 Sample
258,0.653,one_sample_scores,0.574,0.07900000000000007,Covarite Model + 1 Sample
259,0.987,one_sample_scores,0.971,0.016000000000000014,Covarite Model + 1 Sample
260,0.754,one_sample_scores,0.51,0.244,Covarite Model + 1 Sample
261,0.708,one_sample_scores,0.577,0.131,Covarite Model + 1 Sample
262,0.878,one_sample_scores,0.737,0.14100000000000001,Covarite Model + 1 Sample
263,0.614,one_sample_scores,0.496,0.118,Covarite Model + 1 Sample
264,0.505,one_sample_scores,0.337,0.16799999999999998,Covarite Model + 1 Sample
265,0.896,one_sample_scores,0.84,0.05600000000000005,Covarite Model + 1 Sample
266,0.764,one_sample_scores,0.68,0.08399999999999996,Covarite Model + 1 Sample
267,0.578,one_sample_scores,0.49,0.08799999999999997,Covarite Model + 1 Sample
268,0.639,one_sample_scores,0.575,0.06400000000000006,Covarite Model + 1 Sample
269,0.559,one_sample_scores,0.466,0.09300000000000003,Covarite Model + 1 Sample
270,0.985,one_sample_scores,0.949,0.03600000000000003,Covarite Model + 1 Sample
271,0.659,one_sample_scores,0.654,0.0050000000000000044,Covarite Model + 1 Sample
272,0.622,one_sample_scores,0.576,0.04600000000000004,Covarite Model + 1 Sample
273,0.722,one_sample_scores,0.72,0.0020000000000000018,Covarite Model + 1 Sample
274,0.925,one_sample_scores,0.923,0.0020000000000000018,Covarite Model + 1 Sample
275,0.672,one_sample_scores,0.609,0.06300000000000006,Covarite Model + 1 Sample
276,0.991,one_sample_scores,0.91,0.08099999999999996,Covarite Model + 1 Sample
277,0.729,one_sample_scores,0.647,0.08199999999999996,Covarite Model + 1 Sample
278,0.817,one_sample_scores,0.725,0.09199999999999997,Covarite Model + 1 Sample
279,0.72,one_sample_scores,0.663,0.05699999999999994,Covarite Model + 1 Sample
280,0.943,one_sample_scores,0.772,0.17099999999999993,Covarite Model + 1 Sample
281,0.931,one_sample_scores,0.805,0.126,Covarite Model + 1 Sample
282,0.7,one_sample_scores,0.546,0.15399999999999991,Covarite Model + 1 Sample
283,0.975,one_sample_scores,0.85,0.125,Covarite Model + 1 Sample
284,0.984,one_sample_scores,0.972,0.01200000000000001,Covarite Model + 1 Sample
285,0.65,one_sample_scores,0.509,0.14100000000000001,Covarite Model + 1 Sample
286,0.544,one_sample_scores,0.434,0.11000000000000004,Covarite Model + 1 Sample
287,0.982,one_sample_scores,0.863,0.119,Covarite Model + 1 Sample
288,0.855,one_sample_scores,0.818,0.03700000000000003,Covarite Model + 1 Sample
289,0.979,one_sample_scores,0.973,0.006000000000000005,Covarite Model + 1 Sample
290,0.736,one_sample_scores,0.698,0.038000000000000034,Covarite Model + 1 Sample
291,0.985,one_sample_scores,0.942,0.04300000000000004,Covarite Model + 1 Sample
292,0.654,one_sample_scores,0.589,0.06500000000000006,Covarite Model + 1 Sample
293,0.809,one_sample_scores,0.69,0.1190000000000001,Covarite Model + 1 Sample
294,0.61,one_sample_scores,0.588,0.02200000000000002,Covarite Model + 1 Sample
295,0.786,one_sample_scores,0.465,0.321,Covarite Model + 1 Sample
296,0.752,one_sample_scores,0.698,0.05400000000000005,Covarite Model + 1 Sample
297,0.687,one_sample_scores,0.632,0.05500000000000005,Covarite Model + 1 Sample
298,0.676,one_sample_scores,0.502,0.17400000000000004,Covarite Model + 1 Sample
299,0.55,one_sample_scores,0.371,0.17900000000000005,Covarite Model + 1 Sample
300,0.959,one_sample_scores,0.793,0.16599999999999993,Covarite Model + 1 Sample
301,0.897,one_sample_scores,0.883,0.014000000000000012,Covarite Model + 1 Sample
302,0.738,one_sample_scores,0.709,0.029000000000000026,Covarite Model + 1 Sample
303,0.919,one_sample_scores,0.859,0.06000000000000005,Covarite Model + 1 Sample
304,0.803,one_sample_scores,0.732,0.07100000000000006,Covarite Model + 1 Sample
305,0.845,one_sample_scores,0.64,0.20499999999999996,Covarite Model + 1 Sample
306,0.881,one_sample_scores,0.836,0.04500000000000004,Covarite Model + 1 Sample
307,0.963,one_sample_scores,0.855,0.10799999999999998,Covarite Model + 1 Sample
308,0.551,one_sample_scores,0.415,0.13600000000000007,Covarite Model + 1 Sample
309,0.926,one_sample_scores,0.823,0.10300000000000009,Covarite Model + 1 Sample
310,0.814,one_sample_scores,0.759,0.05499999999999994,Covarite Model + 1 Sample
311,0.85,one_sample_scores,0.796,0.05399999999999994,Covarite Model + 1 Sample
312,0.92,one_sample_scores,0.778,0.14200000000000002,Covarite Model + 1 Sample
313,0.654,one_sample_scores,0.517,0.137,Covarite Model + 1 Sample
314,0.876,one_sample_scores,0.765,0.11099999999999999,Covarite Model + 1 Sample
315,0.963,one_sample_scores,0.87,0.09299999999999997,Covarite Model + 1 Sample
316,0.81,one_sample_scores,0.74,0.07000000000000006,Covarite Model + 1 Sample
317,0.786,one_sample_scores,0.719,0.06700000000000006,Covarite Model + 1 Sample
318,0.912,one_sample_scores,0.505,0.40700000000000003,Covarite Model + 1 Sample
319,0.814,one_sample_scores,0.74,0.07399999999999995,Covarite Model + 1 Sample
320,0.869,one_sample_scores,0.823,0.04600000000000004,Covarite Model + 1 Sample
321,0.953,one_sample_scores,0.926,0.026999999999999913,Covarite Model + 1 Sample
322,0.974,one_sample_scores,0.952,0.02200000000000002,Covarite Model + 1 Sample
323,0.936,one_sample_scores,0.918,0.018000000000000016,Covarite Model + 1 Sample
324,0.986,one_sample_scores,0.772,0.21399999999999997,Covarite Model + 1 Sample
325,0.771,one_sample_scores,0.661,0.10999999999999999,Covarite Model + 1 Sample
326,0.568,one_sample_scores,0.449,0.11899999999999994,Covarite Model + 1 Sample
327,0.986,one_sample_scores,0.729,0.257,Covarite Model + 1 Sample
328,0.981,one_sample_scores,0.943,0.038000000000000034,Covarite Model + 1 Sample
329,0.632,one_sample_scores,0.567,0.06500000000000006,Covarite Model + 1 Sample
330,0.451,one_sample_scores,0.4,0.05099999999999999,Covarite Model + 1 Sample
331,0.797,one_sample_scores,0.731,0.06600000000000006,Covarite Model + 1 Sample
332,0.71,one_sample_scores,0.546,0.16399999999999992,Covarite Model + 1 Sample
333,0.982,one_sample_scores,0.936,0.04599999999999993,Covarite Model + 1 Sample
334,0.896,one_sample_scores,0.702,0.19400000000000006,Covarite Model + 1 Sample
335,0.531,one_sample_scores,0.372,0.15900000000000003,Covarite Model + 1 Sample
336,0.798,one_sample_scores,0.73,0.06800000000000006,Covarite Model + 1 Sample
337,0.708,one_sample_scores,0.666,0.041999999999999926,Covarite Model + 1 Sample
338,0.777,one_sample_scores,0.756,0.02100000000000002,Covarite Model + 1 Sample
339,0.952,one_sample_scores,0.627,0.32499999999999996,Covarite Model + 1 Sample
340,0.94,one_sample_scores,0.777,0.16299999999999992,Covarite Model + 1 Sample
341,0.715,one_sample_scores,0.709,0.006000000000000005,Covarite Model + 1 Sample
342,0.984,one_sample_scores,0.926,0.05799999999999994,Covarite Model + 1 Sample
343,0.927,one_sample_scores,0.518,0.40900000000000003,Covarite Model + 1 Sample
